time,P,G(i),H_sun,T2m,WS10m,Int
20231104:0611,0,0,0,7.79,5.38,0
20231104:0711,13.26,28.47,3.36,7.65,5.38,0
20231104:0811,24.95,43.18,10.68,8.13,5.66,0
20231104:0911,183.51,222.9,16.56,9.03,6.55,0
20231104:1011,148.04,184.91,20.55,9.95,7.86,0
20231104:1111,35.66,56.97,22.27,10.21,6.28,0
20231104:1211,28.27,47.78,21.51,10.28,5.38,0
20231104:1311,10.48,23.89,18.38,9.37,6.48,0
20231104:1411,5.1,15.62,13.18,8.98,7.17,0
20231104:1511,0.31,6.43,6.38,8.78,6.55,0
20231104:1611,0,0,0,9.02,5.24,0
20231104:1711,0,0,0,9.56,5.1,0
20231104:1811,0,0,0,9.9,5.52,0
20231104:1911,0,0,0,9.76,4.97,0
20231104:2011,0,0,0,9.96,5.24,0
20231104:2111,0,0,0,9.81,5.24,0
20231104:2211,0,0,0,9.51,5.17,0
20231104:2311,0,0,0,9.25,5.1,0
20231105:0011,0,0,0,8.93,5.03,0
20231105:0111,0,0,0,8.56,4.62,0
20231105:0211,0,0,0,8.36,4.14,0
20231105:0311,0,0,0,8.2,3.79,0
20231105:0411,0,0,0,8.36,3.59,0
20231105:0511,0,0,0,8.63,3.31,0
20231105:0611,0,0,0,8.68,3.24,0
20231105:0711,6.8,18.76,3.1,8.42,3.24,0
20231105:0811,21.98,39.51,10.4,8.81,3.45,0
20231105:0911,34.22,55.13,16.27,9.7,3.59,0
20231105:1011,14.32,29.4,20.25,10.01,4.14,0
20231105:1111,60.75,87.29,21.96,10.79,5.03,0
20231105:1211,14.87,30.32,21.21,11.44,5.17,0
20231105:1311,21.69,39.51,18.09,11.55,5.72,0
20231105:1411,28.15,47.78,12.91,11.27,7.86,0
20231105:1511,38.5,60.96,6.12,11.02,8.9,0
20231105:1611,0,0,0,10.65,9.03,0
20231105:1711,0,0,0,10.59,8.28,0
20231105:1811,0,0,0,10.54,7.38,0
20231105:1911,0,0,0,10.34,6.34,0
20231105:2011,0,0,0,10.26,5.59,0
20231105:2111,0,0,0,9.8,5.1,0
20231105:2211,0,0,0,9.42,5.1,0
20231105:2311,0,0,0,9.1,5.17,0
20231106:0011,0,0,0,9.09,5.1,0
20231106:0111,0,0,0,8.88,5.17,0
20231106:0211,0,0,0,8.93,5.24,0
20231106:0311,0,0,0,9.37,5.24,0
20231106:0411,0,0,0,9.4,5.79,0
20231106:0511,0,0,0,9.32,6.28,0
20231106:0611,0,0,0,9.11,6.41,0
20231106:0711,18.37,36.19,2.83,8.76,5.93,0
20231106:0811,165.94,204.46,10.12,8.91,6.41,0
20231106:0911,224.96,268.63,15.98,9.49,6.97,0
20231106:1011,227.07,272.2,19.95,10.14,6.48,0
20231106:1111,116.7,150.83,21.66,10.64,8.28,0
20231106:1211,166.86,206.45,20.91,10.95,7.93,0
20231106:1311,28.91,48.7,17.8,11.05,7.31,0
20231106:1411,42.78,65.8,12.64,11.08,6.21,0
20231106:1511,113.64,150.12,5.87,10.91,5.52,0
20231106:1611,0,0,0,10.48,5.1,0
20231106:1711,0,0,0,10.01,4.97,0
20231106:1811,0,0,0,9.73,4.97,0
20231106:1911,0,0,0,9.41,5.17,0
20231106:2011,0,0,0,9.29,5.31,0
20231106:2111,0,0,0,9.31,5.45,0
20231106:2211,0,0,0,9.08,5.24,0
20231106:2311,0,0,0,9.05,5.38,0
20231107:0011,0,0,0,8.99,5.38,0
20231107:0111,0,0,0,8.85,5.59,0
20231107:0211,0,0,0,8.81,5.38,0
20231107:0311,0,0,0,8.57,5.03,0
20231107:0411,0,0,0,8.4,4.83,0
20231107:0511,0,0,0,8.54,4.97,0
20231107:0611,0,0,0,8.62,5.1,0
20231107:0711,18.34,36.25,2.57,8.13,4.97,0
20231107:0811,197.4,239.39,9.85,8.36,5.1,0
20231107:0911,7.41,19.3,15.69,9.06,6.34,0
20231107:1011,192.94,234.22,19.65,9.67,6.21,0
20231107:1111,13.62,28.48,21.36,10.66,6.41,0
20231107:1211,568.34,665.36,20.62,11.12,6,0
20231107:1311,23.11,41.35,17.52,11.39,5.79,0
20231107:1411,100.25,132.39,12.38,11.42,5.52,0
20231107:1511,0,5.51,5.62,10.45,5.59,0
20231107:1611,0,0,0,9.71,5.03,0
20231107:1711,0,0,0,9.32,5.24,0
20231107:1811,0,0,0,8.95,5.03,0
20231107:1911,0,0,0,8.85,4.97,0
20231107:2011,0,0,0,8.78,4.83,0
20231107:2111,0,0,0,8.69,4.69,0
20231107:2211,0,0,0,8.73,4.69,0
20231107:2311,0,0,0,8.68,4.62,0
20231108:0011,0,0,0,8.73,4.62,0
20231108:0111,0,0,0,8.57,4.69,0
20231108:0211,0,0,0,8.41,4.62,0
20231108:0311,0,0,0,8.42,4.69,0
20231108:0411,0,0,0,8.21,4.69,0
20231108:0511,0,0,0,8.36,4.83,0
20231108:0611,0,0,0,8.14,5.1,0
20231108:0711,6.23,18.02,2.31,8.08,5.38,0
20231108:0811,76.63,104.32,9.58,8.26,5.59,0
20231108:0911,270.49,318.65,15.41,8.84,5.66,0
20231108:1011,124.06,158.21,19.36,9.66,7.03,0
20231108:1111,121.47,156.02,21.06,10.19,6.14,0
20231108:1211,51.53,76.26,20.33,10.67,6.69,0
20231108:1311,40.8,63.4,17.25,10.85,6.62,0
20231108:1411,12.32,26.65,12.12,10.6,7.86,0
20231108:1511,49.5,74.38,5.38,10.1,7.93,0
20231108:1611,0,0,0,9.69,8.21,0
20231108:1711,0,0,0,9.8,8.21,0
20231108:1811,0,0,0,10.06,7.93,0
20231108:1911,0,0,0,10.03,8,0
20231108:2011,0,0,0,10.23,7.79,0
20231108:2111,0,0,0,10.55,7.52,0
20231108:2211,0,0,0,10.66,7.1,0
20231108:2311,0,0,0,10.8,6.97,0
20231109:0011,0,0,0,10.86,6.76,0
20231109:0111,0,0,0,10.8,6.14,0
20231109:0211,0,0,0,10.81,5.24,0
20231109:0311,0,0,0,10.76,4.48,0
20231109:0411,0,0,0,10.46,4,0
20231109:0511,0,0,0,9.93,3.03,0
20231109:0611,0,0,0,9.32,3.03,0
20231109:0711,0,5.51,2.06,9.13,3.31,0
20231109:0811,159.43,198.37,9.31,8.98,3.24,0
20231109:0911,417.66,490.37,15.12,9.38,3.38,0
20231109:1011,531.62,625.77,19.07,10.12,3.86,0
20231109:1111,459.25,538.27,20.77,10.64,4.76,0
20231109:1211,73.4,102.05,20.05,10.94,5.31,0
20231109:1311,85.35,115.53,16.98,10.96,5.59,0
20231109:1411,9.78,22.97,11.87,10.55,6.48,0
20231109:1511,6.19,17.46,5.15,10.17,6.83,0
20231109:1611,0,0,0,9.73,6.28,0
20231109:1711,0,0,0,9.12,6.14,0
20231109:1811,0,0,0,8.7,5.72,0
20231109:1911,0,0,0,8.25,5.03,0
20231109:2011,0,0,0,7.9,4.83,0
20231109:2111,0,0,0,7.61,5.17,0
20231109:2211,0,0,0,7.44,5.45,0
20231109:2311,0,0,0,7.09,5.59,0
20231110:0011,0,0,0,6.85,5.66,0
20231110:0111,0,0,0,6.8,5.59,0
20231110:0211,0,0,0,7,5.66,0
20231110:0311,0,0,0,7.23,5.52,0
20231110:0411,0,0,0,7.22,5.1,0
20231110:0511,0,0,0,7.09,4.9,0
20231110:0611,0,0,0,6.9,5.24,0
20231110:0711,0,0.92,1.8,6.91,5.38,0
20231110:0811,5.73,16.54,9.04,6.81,5.45,0
20231110:0911,52.84,76.66,14.85,7.08,5.72,0
20231110:1011,13.18,27.56,18.79,7.61,5.17,0
20231110:1111,12.49,26.65,20.49,8.07,5.24,0
20231110:1211,25.6,44.1,19.77,8.63,5.03,0
20231110:1311,60.82,86.65,16.71,9.15,6.28,0
20231110:1411,87.87,117.37,11.62,9.35,5.03,0
20231110:1511,64.4,92.19,4.92,9.05,3.86,0
20231110:1611,0,0,0,8.43,2.9,0
20231110:1711,0,0,0,7.78,2.14,0
20231110:1811,0,0,0,7.39,1.79,0
20231110:1911,0,0,0,7.03,1.93,0
20231110:2011,0,0,0,6.9,2,0
20231110:2111,0,0,0,6.93,2.21,0
20231110:2211,0,0,0,6.93,2.55,0
20231110:2311,0,0,0,6.88,3.03,0
20231111:0011,0,0,0,6.75,3.79,0
20231111:0111,0,0,0,6.84,4.14,0
20231111:0211,0,0,0,6.69,4.28,0
20231111:0311,0,0,0,6.7,4.55,0
20231111:0411,0,0,0,6.84,4.76,0
20231111:0511,0,0,0,6.86,4.55,0
20231111:0611,0,0,0,6.65,4.14,0
20231111:0711,0,0.92,1.55,6.48,3.72,0
20231111:0811,76.89,104.26,8.78,6.95,3.59,0
20231111:0911,81.7,109.94,14.57,7.67,3.66,0
20231111:1011,96.3,127.14,18.5,8.61,3.52,0
20231111:1111,12.39,26.65,20.21,9.41,4.41,0
20231111:1211,185.91,227.09,19.5,9.9,5.03,0
20231111:1311,34.93,56.05,16.46,10.04,4.9,0
20231111:1411,102.98,134.62,11.38,9.66,4.14,0
20231111:1511,18.91,35.73,4.7,9,3.72,0
20231111:1611,0,0,0,8.16,3.24,0
20231111:1711,0,0,0,7.72,3.1,0
20231111:1811,0,0,0,7.15,3.03,0
20231111:1911,0,0,0,6.94,2.55,0
20231111:2011,0,0,0,6.4,2.28,0
20231111:2111,0,0,0,6.01,2.21,0
20231111:2211,0,0,0,5.57,2.28,0
20231111:2311,0,0,0,5.7,2.28,0
20231112:0011,0,0,0,5.72,2.21,0
20231112:0111,0,0,0,5.28,2.28,0
20231112:0211,0,0,0,4.72,2.62,0
20231112:0311,0,0,0,4.49,2.97,0
20231112:0411,0,0,0,4.63,2.69,0
20231112:0511,0,0,0,4.53,2.48,0
20231112:0611,0,0,0,4.04,2.55,0
20231112:0711,0,0,0,4.24,2.48,0
20231112:0811,105.61,135.67,8.52,4.74,2.28,0
20231112:0911,432.16,504.03,14.3,6.33,2.28,0
20231112:1011,424.91,497.16,18.23,7.23,2.28,0
20231112:1111,577.02,683.8,19.93,8.19,2.41,0
20231112:1211,580.1,689.08,19.23,8.81,2.48,0
20231112:1311,186.52,227.99,16.2,9.17,2.48,0
20231112:1411,110.12,142.67,11.15,9.15,2.41,0
20231112:1511,55.72,81.94,4.48,8.56,1.79,0
20231112:1611,0,0,0,7.52,2.07,0
20231112:1711,0,0,0,6.73,2.14,0
20231112:1811,0,0,0,6.16,2.21,0
20231112:1911,0,0,0,6.3,2.41,0
20231112:2011,0,0,0,6.24,2.21,0
20231112:2111,0,0,0,5.81,2.28,0
20231112:2211,0,0,0,5.67,2.14,0
20231112:2311,0,0,0,5.37,2.34,0
20231113:0011,0,0,0,5.39,2.55,0
20231113:0111,0,0,0,5.39,2.69,0
20231113:0211,0,0,0,5.51,2.76,0
20231113:0311,0,0,0,5.68,3.03,0
20231113:0411,0,0,0,5.75,3.24,0
20231113:0511,0,0,0,6.05,3.24,0
20231113:0611,0,0,0,6.46,3.38,0
20231113:0711,0,0,0,6.61,3.79,0
20231113:0811,13.83,28.48,8.26,7.73,4.14,0
20231113:0911,8.62,21.13,14.04,9.04,4.62,0
20231113:1011,95.8,126.88,17.96,9.97,5.93,0
20231113:1111,11.68,25.73,19.66,10.53,6.76,0
20231113:1211,10.98,24.81,18.97,11.52,6.9,0
20231113:1311,162.96,203.17,15.96,12.9,7.72,0
20231113:1411,135.17,172.67,10.92,13.82,9.03,0
20231113:1511,54.79,82.22,4.27,13.65,8.97,0
20231113:1611,0,0,0,12.74,8.28,0
20231113:1711,0,0,0,12.14,8.14,0
20231113:1811,0,0,0,11.93,8.48,0
20231113:1911,0,0,0,12.16,9.24,0
20231113:2011,0,0,0,12.07,9.38,0
20231113:2111,0,0,0,12.09,9.66,0
20231113:2211,0,0,0,12.04,9.79,0
20231113:2311,0,0,0,11.97,9.86,0
20231114:0011,0,0,0,11.95,9.66,0
20231114:0111,0,0,0,11.73,9.52,0
20231114:0211,0,0,0,11.62,9.31,0
20231114:0311,0,0,0,11.48,9.59,0
20231114:0411,0,0,0,11.3,9.03,0
20231114:0511,0,0,0,11.28,8.76,0
20231114:0611,0,0,0,11.18,8.41,0
20231114:0711,0,0,0,11.37,8,0
20231114:0811,55.47,80.9,8,11.31,7.79,0
20231114:0911,160.44,199.36,13.77,11.76,7.38,0
20231114:1011,280.77,333.99,17.69,12.38,7.17,0
20231114:1111,139.35,177.45,19.39,12.87,6.83,0
20231114:1211,60.98,88.21,18.71,12.83,6.62,0
20231114:1311,36.8,58.8,15.71,12.13,6.28,0
20231114:1411,12.25,26.65,10.69,11.59,6.07,0
20231114:1511,2.43,11.03,4.06,10.97,5.72,0
20231114:1611,0,0,0,10.63,4.55,0
20231114:1711,0,0,0,10.26,3.79,0
20231114:1811,0,0,0,10.15,3.72,0
20231114:1911,0,0,0,10.3,4.34,0
20231114:2011,0,0,0,10.13,4.48,0
20231114:2111,0,0,0,9.9,4.34,0
20231114:2211,0,0,0,9.88,4.28,0
20231114:2311,0,0,0,9.52,4.55,0
20231115:0011,0,0,0,9.49,4.76,0
20231115:0111,0,0,0,9.34,4.76,0
20231115:0211,0,0,0,9.29,4.69,0
20231115:0311,0,0,0,9.16,4.48,0
20231115:0411,0,0,0,9.22,4.41,0
20231115:0511,0,0,0,9.08,4.21,0
20231115:0611,0,0,0,8.87,4.14,0
20231115:0711,0,0,0,9.26,4.55,0
20231115:0811,1.53,9.19,7.75,9.2,4.69,0
20231115:0911,15.68,31.24,13.51,9.73,4.9,0
20231115:1011,132.11,167.72,17.43,10.32,4.76,0
20231115:1111,260.07,310.59,19.13,11.01,4.97,0
20231115:1211,60.64,87.29,18.46,11.22,5.38,0
20231115:1311,199.21,241.64,15.48,10.91,6.62,0
20231115:1411,148.91,186.02,10.48,10.72,6.76,0
20231115:1511,28.99,49.26,3.86,10.17,6.28,0
20231115:1611,0,0,0,9.57,5.79,0
20231115:1711,0,0,0,9.35,5.93,0
20231115:1811,0,0,0,9.62,6,0
20231115:1911,0,0,0,9.84,6.48,0
20231115:2011,0,0,0,9.75,6.28,0
20231115:2111,0,0,0,9.6,6,0
20231115:2211,0,0,0,9.27,5.72,0
20231115:2311,0,0,0,8.89,5.59,0
20231116:0011,0,0,0,8.76,5.1,0
20231116:0111,0,0,0,8.62,4.21,0
20231116:0211,0,0,0,8.56,3.38,0
20231116:0311,0,0,0,8.28,2.41,0
20231116:0411,0,0,0,7.81,1.72,0
20231116:0511,0,0,0,7.26,1.03,0
20231116:0611,0,0,0,7.74,0.14,0
20231116:0711,0,0,0,6.15,0.83,0
20231116:0811,56.21,80.02,7.51,4.77,1.45,0
20231116:0911,214.06,257.38,13.26,7.05,1.31,0
20231116:1011,95.13,125.79,17.17,8.11,1.66,0
20231116:1111,86,115.71,18.88,8.6,2.34,0
20231116:1211,103.23,134.98,18.21,8.56,2.55,0
20231116:1311,61.6,87.46,15.25,8.55,2.83,0
20231116:1411,177.17,216.75,10.27,8.44,2.97,0
20231116:1511,9.04,21.85,3.67,8.03,2.9,0
20231116:1611,0,0,0,7.21,2.83,0
20231116:1711,0,0,0,6.63,2.76,0
20231116:1811,0,0,0,6.33,2.62,0
20231116:1911,0,0,0,6.26,2.28,0
20231116:2011,0,0,0,5.84,2,0
20231116:2111,0,0,0,5.4,1.66,0
20231116:2211,0,0,0,4.81,1.38,0
20231116:2311,0,0,0,4.87,1.03,0
20231117:0011,0,0,0,4.99,0.9,0
20231117:0111,0,0,0,4.14,1.1,0
20231117:0211,0,0,0,2.99,1.52,0
20231117:0311,0,0,0,2.65,1.66,0
20231117:0411,0,0,0,2.8,1.59,0
20231117:0511,0,0,0,3.4,1.66,0
20231117:0611,0,0,0,3.78,1.66,0
20231117:0711,0,0,0,2.94,1.59,0
20231117:0811,88.85,116.51,7.26,3.41,1.72,0
20231117:0911,96.37,124.84,13.01,4.42,1.79,0
20231117:1011,100.35,130.25,16.91,5.51,1.59,0
20231117:1111,289.81,342.62,18.63,7.05,1.52,0
20231117:1211,540.82,644.33,17.97,8.03,1.52,0
20231117:1311,205.67,249.33,15.02,8.42,1.38,0
20231117:1411,344.16,409.99,10.06,8.47,1.31,0
20231117:1511,28.13,47.95,3.48,7.89,1.52,0
20231117:1611,0,0,0,6.9,1.93,0
20231117:1711,0,0,0,5.77,2.21,0
20231117:1811,0,0,0,5.24,2.34,0
20231117:1911,0,0,0,4.69,2.41,0
20231117:2011,0,0,0,4.52,2.41,0
20231117:2111,0,0,0,4.18,2.55,0
20231117:2211,0,0,0,4.18,2.62,0
20231117:2311,0,0,0,4.22,2.62,0
20231118:0011,0,0,0,4.4,2.62,0
20231118:0111,0,0,0,4.63,2.62,0
20231118:0211,0,0,0,4.62,2.76,0
20231118:0311,0,0,0,4.9,2.9,0
20231118:0411,0,0,0,4.95,3.1,0
20231118:0511,0,0,0,4.95,3.17,0
20231118:0611,0,0,0,5.03,3.38,0
20231118:0711,0,0,0,5.47,3.86,0
20231118:0811,33.07,52.8,7.02,5.69,4.34,0
20231118:0911,23.03,40.43,12.76,6.03,4.48,0
20231118:1011,20.84,37.67,16.67,6.43,4.97,0
20231118:1111,17.98,34,18.38,7.02,5.79,0
20231118:1211,18.62,34.92,17.74,7.59,6.41,0
20231118:1311,13.16,27.56,14.81,7.96,6.83,0
20231118:1411,9.91,22.97,9.86,8.23,6.9,0
20231118:1511,0.31,6.43,3.3,8.43,6.48,0
20231118:1611,0,0,0,8.85,6,0
20231118:1711,0,0,0,9.54,5.86,0
20231118:1811,0,0,0,10.33,5.93,0
20231118:1911,0,0,0,10.85,5.45,0
20231118:2011,0,0,0,12.18,5.79,0
20231118:2111,0,0,0,12.87,6.14,0
20231118:2211,0,0,0,13.06,6.28,0
20231118:2311,0,0,0,13.12,6.97,0
20231119:0011,0,0,0,13.16,7.45,0
20231119:0111,0,0,0,13.01,7.38,0
20231119:0211,0,0,0,12.67,7.1,0
20231119:0311,0,0,0,12.22,7.03,0
20231119:0411,0,0,0,11.8,7.1,0
20231119:0511,0,0,0,11.47,7.03,0
20231119:0611,0,0,0,11.13,7.1,0
20231119:0711,0,0,0,10.88,7.03,0
20231119:0811,199.56,244.77,6.79,11.04,7.1,0
20231119:0911,5.57,16.54,12.52,11.71,7.17,0
20231119:1011,52.61,78.1,16.42,12.53,7.59,0
20231119:1111,91.48,123.3,18.14,12.84,7.93,0
20231119:1211,48.64,73.51,17.51,13.12,7.24,0
20231119:1311,70.01,98.42,14.6,12.78,7.38,0
20231119:1411,16.8,33.08,9.67,12.44,7.38,0
20231119:1511,8.97,22.08,3.12,12,6.62,0
20231119:1611,0,0,0,11.87,6.28,0
20231119:1711,0,0,0,11.6,6.41,0
20231119:1811,0,0,0,11.34,6.76,0
20231119:1911,0,0,0,11.52,7.45,0
20231119:2011,0,0,0,11.91,8.07,0
20231119:2111,0,0,0,11.97,7.72,0
20231119:2211,0,0,0,12.04,7.52,0
20231119:2311,0,0,0,11.98,7.03,0
20231120:0011,0,0,0,11.87,6.83,0
20231120:0111,0,0,0,11.67,6.62,0
20231120:0211,0,0,0,11.46,6.41,0
20231120:0311,0,0,0,11.22,6.21,0
20231120:0411,0,0,0,10.98,5.79,0
20231120:0511,0,0,0,10.6,5.38,0
20231120:0611,0,0,0,10.13,5.03,0
20231120:0711,0,0,0,9.95,4.97,0
20231120:0811,142.55,180.03,6.55,9.73,4.9,0
20231120:0911,429.08,501.59,12.28,9.87,4.76,0
20231120:1011,78.79,107.91,16.18,10.53,4.34,0
20231120:1111,564.42,662.96,17.91,10.73,4.83,0
20231120:1211,449.48,527.95,17.29,11.21,4.62,0
20231120:1311,48.12,72.33,14.39,11.19,4.14,0
20231120:1411,239.87,288.93,9.48,10.7,3.86,0
20231120:1511,1.51,9.19,2.96,10.08,3.03,0
20231120:1611,0,0,0,9.15,2.41,0
20231120:1711,0,0,0,8.81,2.21,0
20231120:1811,0,0,0,8.07,2.28,0
20231120:1911,0,0,0,7.69,2.07,0
20231120:2011,0,0,0,7.33,2.14,0
20231120:2111,0,0,0,7.04,2.07,0
20231120:2211,0,0,0,6.89,2.14,0
20231120:2311,0,0,0,6.98,2.07,0
20231121:0011,0,0,0,6.7,1.79,0
20231121:0111,0,0,0,6.25,1.86,0
20231121:0211,0,0,0,6.66,1.52,0
20231121:0311,0,0,0,6.88,1.17,0
20231121:0411,0,0,0,7.77,0.62,0
20231121:0511,0,0,0,7.53,0.83,0
20231121:0611,0,0,0,6.3,1.86,0
20231121:0711,0,0,0,7.83,2.41,0
20231121:0811,2.47,11.03,6.33,8.7,2.9,0
20231121:0911,224.23,269.04,12.05,9.35,3.72,0
20231121:1011,37.23,58.8,15.95,9.53,3.52,0
20231121:1111,20.47,37.67,17.68,9.79,3.86,0
20231121:1211,40.19,62.48,17.08,9.76,3.31,0
20231121:1311,33.48,54.21,14.19,9.64,3.24,0
20231121:1411,5.65,16.54,9.3,9.25,3.52,0
20231121:1511,0.31,6.43,2.79,8.71,4.55,0
20231121:1611,0,0,0,8.12,4.07,0
20231121:1711,0,0,0,7.69,3.72,0
20231121:1811,0,0,0,7.27,3.45,0
20231121:1911,0,0,0,6.68,3.1,0
20231121:2011,0,0,0,6.08,2.76,0
20231121:2111,0,0,0,5.22,2.62,0
20231121:2211,0,0,0,4.51,2.48,0
20231121:2311,0,0,0,3.96,2.34,0
20231122:0011,0,0,0,3.41,2.28,0
20231122:0111,0,0,0,2.8,2.14,0
20231122:0211,0,0,0,2.12,2,0
20231122:0311,0,0,0,1.33,1.86,0
20231122:0411,0,0,0,0.87,1.52,0
20231122:0511,0,0,0,0.51,1.45,0
20231122:0611,0,0,0,-0.33,1.38,0
20231122:0711,0,0,0,0.36,1.72,0
20231122:0811,102.99,131.16,6.1,0.88,1.59,0
20231122:0911,102.73,130.76,11.82,2.48,1.59,0
20231122:1011,182,217.48,15.72,3.59,2.41,0
20231122:1111,128.19,159.88,17.46,4.63,3.1,0
20231122:1211,378.99,436.41,16.87,5.51,3.52,0
20231122:1311,39.47,60.64,14,5.8,3.86,0
20231122:1411,43.29,65,9.13,5.94,3.86,0
20231122:1511,0,3.68,2.64,6,4.28,0
20231122:1611,0,0,0,5.89,4.62,0
20231122:1711,0,0,0,6.04,4.83,0
20231122:1811,0,0,0,6.41,4.9,0
20231122:1911,0,0,0,6.91,5.52,0
20231122:2011,0,0,0,7.75,5.38,0
20231122:2111,0,0,0,8.56,5.03,0
20231122:2211,0,0,0,9.29,4.83,0
20231122:2311,0,0,0,9.91,4.83,0
20231123:0011,0,0,0,10.32,4.9,0
20231123:0111,0,0,0,10.62,5.1,0
20231123:0211,0,0,0,10.81,5.31,0
20231123:0311,0,0,0,10.86,5.52,0
20231123:0411,0,0,0,10.55,5.72,0
20231123:0511,0,0,0,10.53,5.86,0
20231123:0611,0,0,0,10.56,6,0
20231123:0711,0,0,0,10.81,6.21,0
20231123:0811,40.27,62.75,5.88,11.07,6.48,0
20231123:0911,174,214.08,11.6,11.46,6.76,0
20231123:1011,506.78,591.75,15.5,11.97,6.9,0
20231123:1111,197.53,240.74,17.25,12.22,8.21,0
20231123:1211,552.82,644.15,16.66,12.28,8.07,0
20231123:1311,16.16,32.16,13.81,12.1,8.41,0
20231123:1411,34.66,55.93,8.96,12.02,8.34,0
20231123:1511,0,1.84,2.49,12.02,8.14,0
20231123:1611,0,0,0,12.1,8.07,0
20231123:1711,0,0,0,12.08,8.07,0
20231123:1811,0,0,0,12.09,8.76,0
20231123:1911,0,0,0,11.91,8.34,0
20231123:2011,0,0,0,11.6,8.28,0
20231123:2111,0,0,0,10.85,7.86,0
20231123:2211,0,0,0,9.95,7.52,0
20231123:2311,0,0,0,9,7.17,0
20231124:0011,0,0,0,8.12,6.34,0
20231124:0111,0,0,0,7.96,5.79,0
20231124:0211,0,0,0,7.77,5.79,0
20231124:0311,0,0,0,7.48,6,0
20231124:0411,0,0,0,7.34,6.28,0
20231124:0511,0,0,0,7.06,6.41,0
20231124:0611,0,0,0,6.59,6.28,0
20231124:0711,0,0,0,6.34,6.76,0
20231124:0811,161.68,198.42,5.67,6.27,7.17,0
20231124:0911,414.18,473.03,11.38,6.41,7.1,0
20231124:1011,493.32,561.24,15.28,6.85,7.66,0
20231124:1111,15.25,30.32,17.04,6.96,8.21,0
20231124:1211,132.45,164.94,16.47,6.78,8.07,0
20231124:1311,5.74,16.54,13.64,6.67,8.69,0
20231124:1411,322.42,371.68,8.8,6.72,9.03,0
20231124:1511,0,5.51,2.35,6.68,9.79,0
20231124:1611,0,0,0,6.31,10.41,0
20231124:1711,0,0,0,6.09,9.79,0
20231124:1811,0,0,0,6.16,9.59,0
20231124:1911,0,0,0,5.61,9.59,0
20231124:2011,0,0,0,5.6,8.07,0
20231124:2111,0,0,0,5.81,6.83,0
20231124:2211,0,0,0,5.99,6.07,0
20231124:2311,0,0,0,5.8,5.86,0
20231125:0011,0,0,0,6.03,5.66,0
20231125:0111,0,0,0,5.94,4.97,0
20231125:0211,0,0,0,5.94,4.34,0
20231125:0311,0,0,0,5.69,4.76,0
20231125:0411,0,0,0,5.48,5.03,0
20231125:0511,0,0,0,5.42,5.24,0
20231125:0611,0,0,0,5.6,5.93,0
20231125:0711,0,0,0,5.51,5.86,0
20231125:0811,7.55,19.3,5.46,5.76,5.59,0
20231125:0911,4.62,14.7,11.17,6.47,5.52,0
20231125:1011,108.92,139.57,15.07,7.05,5.66,0
20231125:1111,563.56,649.68,16.83,7.77,5.66,0
20231125:1211,574.33,661.17,16.28,8.09,6.34,0
20231125:1311,343.21,397.23,13.46,8.2,6.34,0
20231125:1411,7.48,19.3,8.65,7.52,6.55,0
20231125:1511,1.11,8.27,2.21,7.17,5.45,0
20231125:1611,0,0,0,6.55,4.97,0
20231125:1711,0,0,0,6.38,4.55,0
20231125:1811,0,0,0,6.35,4.21,0
20231125:1911,0,0,0,5.43,2.9,0
20231125:2011,0,0,0,5.13,2.28,0
20231125:2111,0,0,0,4.54,2.07,0
20231125:2211,0,0,0,3.79,2,0
20231125:2311,0,0,0,3.31,2,0
20231126:0011,0,0,0,2.9,2.21,0
20231126:0111,0,0,0,3.08,2.34,0
20231126:0211,0,0,0,3.84,2.41,0
20231126:0311,0,0,0,3.7,2.62,0
20231126:0411,0,0,0,3.93,2.48,0
20231126:0511,0,0,0,4.24,2.34,0
20231126:0611,0,0,0,4.64,2.28,0
20231126:0711,0,0,0,4.6,2.34,0
20231126:0811,33.64,53.46,5.25,4.92,2.28,0
20231126:0911,56.07,79.9,10.96,5.64,2.07,0
20231126:1011,142.51,176.94,14.87,6.59,2.07,0
20231126:1111,396.18,462.42,16.64,7.2,2.41,0
20231126:1211,81.13,109.31,16.1,7.2,2.48,0
20231126:1311,38.41,59.72,13.3,7.11,2.55,0
20231126:1411,75.59,102.42,8.5,6.88,2.48,0
20231126:1511,0,5.51,2.08,6.66,2.48,0
20231126:1611,0,0,0,6.27,2.69,0
20231126:1711,0,0,0,5.99,2.9,0
20231126:1811,0,0,0,5.82,2.97,0
20231126:1911,0,0,0,5.77,2.97,0
20231126:2011,0,0,0,5.54,3.31,0
20231126:2111,0,0,0,5.25,3.59,0
20231126:2211,0,0,0,5.06,3.79,0
20231126:2311,0,0,0,4.95,3.93,0
20231127:0011,0,0,0,5.08,4,0
20231127:0111,0,0,0,5.14,4.41,0
20231127:0211,0,0,0,5.09,4.83,0
20231127:0311,0,0,0,4.87,5.03,0
20231127:0411,0,0,0,4.6,5.03,0
20231127:0511,0,0,0,4.38,4.97,0
20231127:0611,0,0,0,4.13,4.9,0
20231127:0711,0,0,0,4.37,4,0
20231127:0811,1.59,9.19,5.05,4.37,3.66,0
20231127:0911,8.85,21.13,10.76,4.44,3.45,0
20231127:1011,23.91,41.35,14.67,4.6,2.97,0
20231127:1111,14.04,28.48,16.45,4.86,2.62,0
20231127:1211,24.58,42.27,15.92,5.04,2.34,0
