time,P,G(i),H_sun,T2m,WS10m,Int
20230121:1711,0,0,0,0.55,2.48,0
20230121:1811,0,0,0,0.34,2.76,0
20230121:1911,0,0,0,0.04,2.28,0
20230121:2011,0,0,0,0.02,2.34,0
20230121:2111,0,0,0,0.03,2.41,0
20230121:2211,0,0,0,0.17,2.41,0
20230121:2311,0,0,0,0.08,2.48,0
20230122:0011,0,0,0,0.36,2.55,0
20230122:0111,0,0,0,0.28,2.69,0
20230122:0211,0,0,0,0.55,3.1,0
20230122:0311,0,0,0,0.34,3.38,0
20230122:0411,0,0,0,0.16,3.66,0
20230122:0511,0,0,0,-0.39,3.72,0
20230122:0611,0,0,0,-0.26,3.79,0
20230122:0711,0,0,0,-0.07,3.66,0
20230122:0811,60.76,85.04,3.66,-0.04,3.52,0
20230122:0911,91.86,117.54,10.04,0.21,3.03,0
20230122:1011,241.62,277.36,14.76,0.83,4.41,0
20230122:1111,216.49,251.49,17.43,1.33,4.21,0
20230122:1211,71.98,96.86,17.81,1.88,4.21,0
20230122:1311,105.67,133.72,15.85,2.32,4.14,0
20230122:1411,14.91,29.4,11.74,2.5,3.86,0
20230122:1511,29.48,47.88,5.85,2.54,3.45,0
20230122:1611,0,0,0,2.23,3.03,0
20230122:1711,0,0,0,1.97,2.97,0
20230122:1811,0,0,0,1.88,3.03,0
20230122:1911,0,0,0,1.54,2.69,0
20230122:2011,0,0,0,1.59,2.62,0
20230122:2111,0,0,0,1.55,2.55,0
20230122:2211,0,0,0,1.65,2.55,0
20230122:2311,0,0,0,1.68,2.41,0
20230123:0011,0,0,0,1.66,2.34,0
20230123:0111,0,0,0,1.68,2.21,0
20230123:0211,0,0,0,1.64,2.21,0
20230123:0311,0,0,0,1.38,2.48,0
20230123:0411,0,0,0,1.33,2.62,0
20230123:0511,0,0,0,1.36,2.62,0
20230123:0611,0,0,0,1.34,2.48,0
20230123:0711,0,0,0,1.23,2.41,0
20230123:0811,10.61,23.57,3.83,1.39,2.14,0
20230123:0911,53.05,75.25,10.23,1.8,2.69,0
